business_id,sector,business_age_years,legal_status,division,location_type,employees_count,monthly_revenue_bdt,monthly_profit_bdt,existing_loans,prior_loan_count,late_payment_history,loan_purpose,loan_amount_bdt,preferred_tenure_months,collateral_level,cashflow_stability,missed_payment_last_12m,repayment_confidence,owner_education,days_payable_outstanding,business_description,loan_purpose_description,repayment_plan_description,risk_factors_description,target_missed_payment,split
SME011,Services,8,Sole,Dhaka,Urban,10,285000,67713,Yes,1,Sometimes,Equipment,1148000,9,Moderate,3,No,3,Higher Secondary,30,Family owned restaurant serving Bengali and Chinese food. Started 8 years back with good customer base. Known for quality food.,Want to expand seating and install kitchen equipment. Currently capacity limited. This will increase revenue significantly.,Restaurant generates consistent revenue. Will allocate monthly for repayment. Wedding season brings more orders. Planning delivery service.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME012,Retail,3,Sole,Chittagong,Urban,6,433000,114927,Yes,3,Rarely,Working capital,1084000,6,Moderate,4,No,4,Master's,40,Licensed pharmacy selling medicines and health products. Established 3 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME013,Retail,2,Limited,Dhaka,Urban,12,257000,61668,No,0,Never,Working capital,652000,9,Moderate,3,No,3,Master's,50,Small retail shop selling ready-made garments and accessories. Running for 2 years with steady customer base from local community.,Need working capital to purchase inventory for upcoming Eid season which generates high sales volume.,Will repay from daily sales revenue. Peak season sales will allow monthly repayment. Good cashflow during festivals.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME014,Services,12,Limited,Dhaka,Urban,4,411000,137604,Yes,3,Rarely,Expansion,856000,9,Low,2,No,5,Secondary,25,Ladies beauty parlour providing haircut facial and bridal makeup. Opened 12 years ago with good reputation through social media.,Need money for professional equipment and products. Want to renovate and offer premium services. Can charge higher prices.,Bridal season generates double income. Will save monthly for repayment. Peak wedding season very profitable. Low overhead costs.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME015,Services,11,Limited,Dhaka,Urban,5,710000,176659,Yes,2,Rarely,Working capital,789000,9,High,3,No,3,Secondary,15,Family owned restaurant serving Bengali and Chinese food. Started 11 years back with good customer base. Known for quality food.,Want to expand seating and install kitchen equipment. Currently capacity limited. This will increase revenue significantly.,Restaurant generates consistent revenue. Will allocate monthly for repayment. Wedding season brings more orders. Planning delivery service.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME016,Services,14,Sole,Dhaka,Urban,4,319000,72553,Yes,2,Sometimes,Inventory,122000,9,Low,2,Yes,3,Secondary,45,Coaching center teaching SSC and HSC students. Currently have good number of students with good exam results. Qualified teachers.,Want to rent larger space and buy equipment. Current place small and students waiting. Expansion will allow more students.,Monthly fees from students. With more students revenue increases. Admission season brings enrollment. Low operating costs overall.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,1,train
SME017,Manufacturing,15,Limited,Gazipur,Urban,2,792000,268227,Yes,2,Rarely,Expansion,198000,6,Low,5,No,4,Primary,40,Small garments factory producing t-shirts. Supply to local brands. Running 15 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME018,Retail,10,Partnership,Khulna,Urban,6,593000,156024,No,0,Never,Inventory,697000,12,Low,4,No,3,Higher Secondary,15,Hardware shop selling cement rod tiles sanitary and paint. Serve contractors and home owners. Running 10 years with established clients.,Need working capital to stock inventory. Construction boom so demand very high. Suppliers offering discount for bulk purchase.,Construction season peak. Will pay monthly from sales. Have shop ownership. Suppliers give payment credit period.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME019,Manufacturing,8,Sole,Chittagong,Urban,10,129000,40059,Yes,2,Rarely,Renovation,494000,12,High,2,No,5,Bachelor's,35,Steel fabrication making grills gates and structures. Serve construction sites. Running 8 years with quality work reputation.,Need new welding machines. Current equipment old and breakdown. New will allow larger projects and improve quality.,Have ongoing contracts with builders. Will pay monthly. Steel work demand high. Workshop land as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,test
SME020,Agriculture,13,Limited,Jessore,Rural,4,485000,99501,No,0,Never,Equipment,448000,18,Moderate,2,Yes,3,Primary,20,Vegetable farming growing various vegetables for market. Use quality seeds and fertilizers. Running 13 years with good production.,Need equipment and irrigation. Want to expand acreage. With more land can supply larger volumes to markets.,Harvest season brings good income. Will pay after harvest. Multiple crops yearly. Low overhead. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,1,train
SME021,Manufacturing,9,Limited,Gazipur,Urban,4,525000,152900,Yes,1,Never,Equipment,412000,9,High,2,No,3,Secondary,20,Small garments factory producing t-shirts. Supply to local brands. Running 9 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME022,Retail,14,Partnership,Dhaka,Urban,5,380000,90908,Yes,2,Sometimes,Working capital,460000,15,Low,5,Yes,4,Higher Secondary,10,Small retail shop selling ready-made garments and accessories. Running for 14 years with steady customer base from local community.,Need working capital to purchase inventory for upcoming Eid season which generates high sales volume.,Will repay from daily sales revenue. Peak season sales will allow monthly repayment. Good cashflow during festivals.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,1,train
SME023,Manufacturing,10,Limited,Dhaka,Urban,2,695000,151846,No,0,Never,Equipment,330000,24,Low,5,No,4,Higher Secondary,20,Plastic products making containers bottles and household items. Supply to distributors. Running 10 years with good market.,Need more injection machines. Current capacity cannot meet demand. Have orders but producing insufficient quantity.,Distributors order monthly with regular payment. Will earn more with production increase. Ramadan season demand triples.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME024,Agriculture,4,Sole,Khulna,Rural,6,679000,186300,Yes,2,Rarely,Working capital,1122000,6,Moderate,3,No,4,Master's,50,Fish farming in ponds growing various species. Started 4 years back using scientific methods. Sell to local market and wholesalers.,Want to lease more ponds and install equipment. Also need storage and delivery truck. Will supply directly to markets.,Fish ready for harvest every few months. Major harvest brings good income. Will pay during harvest months. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,0,train
SME025,Services,9,Sole,Dhaka,Urban,15,304000,104999,Yes,3,Sometimes,Working capital,456000,6,High,5,No,3,Higher Secondary,10,Coaching center teaching SSC and HSC students. Currently have good number of students with good exam results. Qualified teachers.,Want to rent larger space and buy equipment. Current place small and students waiting. Expansion will allow more students.,Monthly fees from students. With more students revenue increases. Admission season brings enrollment. Low operating costs overall.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME026,Manufacturing,11,Sole,Gazipur,Urban,4,562000,116119,No,0,Never,Working capital,1003000,24,Moderate,5,No,3,Primary,10,Small garments factory producing t-shirts. Supply to local brands. Running 11 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME027,Agriculture,6,Sole,Khulna,Rural,6,487000,153631,Yes,1,Never,Renovation,268000,18,High,5,No,3,Secondary,50,Fish farming in ponds growing various species. Started 6 years back using scientific methods. Sell to local market and wholesalers.,Want to lease more ponds and install equipment. Also need storage and delivery truck. Will supply directly to markets.,Fish ready for harvest every few months. Major harvest brings good income. Will pay during harvest months. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,0,test
SME028,Services,2,Sole,Dhaka,Urban,10,225000,51877,Yes,1,Sometimes,Inventory,413000,15,High,2,No,3,Higher Secondary,50,Printing press doing offset printing and binding. Textbooks catalogs and corporate work. Running 2 years with good reputation.,Need to purchase better printing machine. Current machine limits quality. New equipment will compete for better contracts.,Have annual contracts with publishers. Can earn more with new machine. Academic season peak time. Machinery as collateral.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,test
SME029,Manufacturing,7,Sole,Gazipur,Urban,20,269000,91363,Yes,2,Never,Equipment,280000,9,Low,3,No,4,Higher Secondary,30,Small garments factory producing t-shirts. Supply to local brands. Running 7 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME030,Retail,4,Sole,Sylhet,Urban,2,86000,22984,No,0,Never,Inventory,1141000,12,Low,2,No,4,Secondary,45,Electronics showroom selling TV refrigerator and appliances. Running 4 years with good sales. Installment facility available.,Wedding season and Eid coming. Need to stock inventory. These festivals generate majority of annual sales.,Festival months sales triple. Can pay monthly during peak. Manufacturers give payment credit. Have shop ownership documents.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME031,Manufacturing,5,Partnership,Gazipur,Urban,2,198000,51230,Yes,3,Never,Expansion,554000,12,Moderate,4,Yes,4,Bachelor's,20,Small garments factory producing t-shirts. Supply to local brands. Running 5 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,1,test
SME032,Retail,8,Sole,Chittagong,Urban,6,388000,121378,Yes,1,Sometimes,Inventory,232000,9,High,5,No,4,Master's,50,Licensed pharmacy selling medicines and health products. Established 8 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME033,Manufacturing,4,Limited,Rajshahi,Rural,10,691000,204297,No,0,Never,Equipment,201000,24,High,4,No,4,Higher Secondary,20,Rice mill processing paddy from local farmers. Running 4 years in rural area. Process monthly and supply to wholesalers.,Old milling machine breaking down. Need new automatic machine for better processing and less wastage. Will increase capacity.,Harvest season is peak when generate maximum profit. Will pay during these months. Have land as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME034,Agriculture,14,Sole,Khulna,Rural,3,547000,147186,Yes,1,Never,Renovation,473000,15,High,3,No,3,Primary,20,Fish farming in ponds growing various species. Started 14 years back using scientific methods. Sell to local market and wholesalers.,Want to lease more ponds and install equipment. Also need storage and delivery truck. Will supply directly to markets.,Fish ready for harvest every few months. Major harvest brings good income. Will pay during harvest months. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,0,train
SME035,Retail,11,Limited,Chittagong,Urban,4,105000,24282,No,0,Never,Expansion,217000,18,Moderate,5,No,3,Primary,15,Licensed pharmacy selling medicines and health products. Established 11 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME036,Retail,5,Sole,Sylhet,Urban,12,586000,153958,Yes,1,Never,Working capital,196000,12,High,3,No,3,Higher Secondary,40,Electronics showroom selling TV refrigerator and appliances. Running 5 years with good sales. Installment facility available.,Wedding season and Eid coming. Need to stock inventory. These festivals generate majority of annual sales.,Festival months sales triple. Can pay monthly during peak. Manufacturers give payment credit. Have shop ownership documents.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME037,Manufacturing,3,Sole,Gazipur,Urban,5,275000,92097,Yes,1,Sometimes,Expansion,364000,24,Moderate,2,No,5,Higher Secondary,50,Small garments factory producing t-shirts. Supply to local brands. Running 3 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME038,Retail,6,Limited,Chittagong,Urban,18,661000,199496,Yes,1,Never,Renovation,199000,18,Low,3,No,4,Bachelor's,15,Licensed pharmacy selling medicines and health products. Established 6 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME039,Agriculture,6,Limited,Khulna,Rural,15,542000,154826,No,0,Never,Working capital,1191000,15,Low,2,No,3,Primary,40,Fish farming in ponds growing various species. Started 6 years back using scientific methods. Sell to local market and wholesalers.,Want to lease more ponds and install equipment. Also need storage and delivery truck. Will supply directly to markets.,Fish ready for harvest every few months. Major harvest brings good income. Will pay during harvest months. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,0,train
SME040,Manufacturing,13,Sole,Dhaka,Urban,18,99000,28958,No,0,Never,Working capital,440000,18,Low,4,No,3,Master's,35,Plastic products making containers bottles and household items. Supply to distributors. Running 13 years with good market.,Need more injection machines. Current capacity cannot meet demand. Have orders but producing insufficient quantity.,Distributors order monthly with regular payment. Will earn more with production increase. Ramadan season demand triples.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,0,train
SME041,Services,15,Sole,Dhaka,Urban,18,415000,85683,Yes,2,Never,Equipment,974000,18,Low,3,No,4,Higher Secondary,50,Coaching center teaching SSC and HSC students. Currently have good number of students with good exam results. Qualified teachers.,Want to rent larger space and buy equipment. Current place small and students waiting. Expansion will allow more students.,Monthly fees from students. With more students revenue increases. Admission season brings enrollment. Low operating costs overall.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME042,Manufacturing,4,Partnership,Rajshahi,Rural,8,613000,211820,Yes,1,Never,Renovation,249000,18,Low,5,Yes,4,Primary,30,Rice mill processing paddy from local farmers. Running 4 years in rural area. Process monthly and supply to wholesalers.,Old milling machine breaking down. Need new automatic machine for better processing and less wastage. Will increase capacity.,Harvest season is peak when generate maximum profit. Will pay during these months. Have land as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,1,train
SME043,Retail,13,Partnership,Khulna,Urban,2,494000,120337,No,0,Never,Renovation,782000,18,High,4,Yes,5,Bachelor's,10,Hardware shop selling cement rod tiles sanitary and paint. Serve contractors and home owners. Running 13 years with established clients.,Need working capital to stock inventory. Construction boom so demand very high. Suppliers offering discount for bulk purchase.,Construction season peak. Will pay monthly from sales. Have shop ownership. Suppliers give payment credit period.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,1,train
SME044,Services,5,Partnership,Dhaka,Urban,3,109000,28135,Yes,3,Sometimes,Inventory,1054000,12,Moderate,5,No,3,Higher Secondary,30,Printing press doing offset printing and binding. Textbooks catalogs and corporate work. Running 5 years with good reputation.,Need to purchase better printing machine. Current machine limits quality. New equipment will compete for better contracts.,Have annual contracts with publishers. Can earn more with new machine. Academic season peak time. Machinery as collateral.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME045,Services,4,Sole,Dhaka,Urban,6,724000,177795,Yes,1,Never,Renovation,296000,12,Moderate,5,No,5,Secondary,15,Family owned restaurant serving Bengali and Chinese food. Started 4 years back with good customer base. Known for quality food.,Want to expand seating and install kitchen equipment. Currently capacity limited. This will increase revenue significantly.,Restaurant generates consistent revenue. Will allocate monthly for repayment. Wedding season brings more orders. Planning delivery service.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME046,Services,4,Sole,Chittagong,Urban,5,96000,27387,Yes,2,Never,Working capital,740000,9,High,5,No,4,Bachelor's,35,Diagnostic center offering blood tests X-ray and ultrasound. Licensed pathologist. Running 4 years with accurate reports.,Need to purchase automated equipment. Current machines slow. With automation can do more tests faster with better quality.,Daily patients steady. Can do more patients with new machines. No seasonal variation. Lab license as collateral.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME047,Services,7,Sole,Dhaka,Urban,8,770000,267590,Yes,2,Never,Inventory,886000,6,Low,4,No,4,Primary,15,Printing press doing offset printing and binding. Textbooks catalogs and corporate work. Running 7 years with good reputation.,Need to purchase better printing machine. Current machine limits quality. New equipment will compete for better contracts.,Have annual contracts with publishers. Can earn more with new machine. Academic season peak time. Machinery as collateral.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,test
SME048,Agriculture,12,Sole,Jessore,Rural,18,396000,134729,Yes,2,Rarely,Renovation,163000,12,Low,2,No,3,Bachelor's,10,Vegetable farming growing various vegetables for market. Use quality seeds and fertilizers. Running 12 years with good production.,Need equipment and irrigation. Want to expand acreage. With more land can supply larger volumes to markets.,Harvest season brings good income. Will pay after harvest. Multiple crops yearly. Low overhead. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,0,train
SME049,Retail,3,Sole,Sylhet,Urban,15,256000,55138,Yes,2,Never,Expansion,739000,9,Moderate,3,Yes,4,Bachelor's,10,Electronics showroom selling TV refrigerator and appliances. Running 3 years with good sales. Installment facility available.,Wedding season and Eid coming. Need to stock inventory. These festivals generate majority of annual sales.,Festival months sales triple. Can pay monthly during peak. Manufacturers give payment credit. Have shop ownership documents.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,1,train
SME050,Retail,9,Limited,Chittagong,Urban,2,255000,61070,Yes,3,Never,Renovation,203000,12,Low,5,No,4,Master's,20,Licensed pharmacy selling medicines and health products. Established 9 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,train
SME051,Services,4,Partnership,Chittagong,Urban,6,551000,158618,Yes,3,Sometimes,Expansion,344000,9,High,2,No,4,Master's,35,Diagnostic center offering blood tests X-ray and ultrasound. Licensed pathologist. Running 4 years with accurate reports.,Need to purchase automated equipment. Current machines slow. With automation can do more tests faster with better quality.,Daily patients steady. Can do more patients with new machines. No seasonal variation. Lab license as collateral.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME052,Retail,15,Partnership,Chittagong,Urban,5,752000,187129,Yes,3,Rarely,Equipment,199000,12,High,3,No,5,Primary,10,Licensed pharmacy selling medicines and health products. Established 15 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,0,test
SME053,Agriculture,8,Limited,Jessore,Rural,12,215000,46509,Yes,2,Never,Renovation,611000,15,High,3,No,5,Master's,10,Vegetable farming growing various vegetables for market. Use quality seeds and fertilizers. Running 8 years with good production.,Need equipment and irrigation. Want to expand acreage. With more land can supply larger volumes to markets.,Harvest season brings good income. Will pay after harvest. Multiple crops yearly. Low overhead. Land as collateral.,Weather dependent business. Seasonal demand fluctuation. Price volatility in market. Finding skilled workers difficult.,0,train
SME054,Services,7,Partnership,Dhaka,Urban,3,613000,178445,Yes,3,Rarely,Expansion,682000,24,High,4,No,5,Secondary,25,Ladies beauty parlour providing haircut facial and bridal makeup. Opened 7 years ago with good reputation through social media.,Need money for professional equipment and products. Want to renovate and offer premium services. Can charge higher prices.,Bridal season generates double income. Will save monthly for repayment. Peak wedding season very profitable. Low overhead costs.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME055,Retail,11,Limited,Chittagong,Urban,10,475000,133122,Yes,3,Never,Renovation,170000,24,Low,3,Yes,4,Higher Secondary,45,Licensed pharmacy selling medicines and health products. Established 11 years ago near hospital area. Good relationship with doctors.,Want to stock more medicines inventory especially chronic disease medications. Many customers but stock unavailable.,Daily sales steady. Will allocate portion for repayment monthly. Pharmaceutical companies give credit. Shop ownership as collateral.,Competition from larger stores and online shops. Need large inventory capital. Seasonal demand varies. Suppliers require cash payment.,1,train
SME056,Services,15,Limited,Dhaka,Urban,18,413000,119164,Yes,3,Never,Renovation,801000,15,High,5,No,5,Bachelor's,25,Printing press doing offset printing and binding. Textbooks catalogs and corporate work. Running 15 years with good reputation.,Need to purchase better printing machine. Current machine limits quality. New equipment will compete for better contracts.,Have annual contracts with publishers. Can earn more with new machine. Academic season peak time. Machinery as collateral.,Finding qualified staff difficult. Customer retention challenge. Competition increasing. Service quality must be maintained consistently.,0,train
SME057,Manufacturing,15,Partnership,Gazipur,Urban,18,580000,147356,Yes,2,Rarely,Inventory,662000,12,High,4,Yes,3,Bachelor's,35,Small garments factory producing t-shirts. Supply to local brands. Running 15 years with orders from brands. BGMEA member.,Need industrial sewing machines. Current machines old. Want to add printing in-house. This will increase margins and orders.,Monthly production steady. Brands pay after delivery. Can produce more with machines. Factory building as collateral.,Raw material price fluctuations. Machine maintenance costs. Finding skilled operators difficult. Competition from imports.,1,train
